data,material,ponto,x,z,contagem,tempo(s)
2021-11-03,fluido 2,0,0,0,2482,0.0
2021-11-03,fluido 2,1,0,0,2398,20.0
2021-11-03,fluido 2,2,0,0,2387,40.0
2021-11-03,fluido 2,3,0,0,2450,60.0
2021-11-03,fluido 2,4,0,0,2505,80.0
2021-11-03,fluido 2,5,0,0,2518,100.0
2021-11-03,fluido 2,6,0,0,2442,120.0
2021-11-03,fluido 2,7,0,0,2364,140.0
2021-11-03,fluido 2,8,0,0,2404,160.0
2021-11-03,fluido 2,9,0,0,2434,180.0
2021-11-03,fluido 2,0,0,0.5,2482,0.0
2021-11-03,fluido 2,1,0,0.5,2398,20.0
2021-11-03,fluido 2,2,0,0.5,2387,40.0
2021-11-03,fluido 2,3,0,0.5,2450,60.0
2021-11-03,fluido 2,4,0,0.5,2505,80.0
2021-11-03,fluido 2,5,0,0.5,2518,100.0
2021-11-03,fluido 2,6,0,0.5,2442,120.0
2021-11-03,fluido 2,7,0,0.5,2364,140.0
2021-11-03,fluido 2,8,0,0.5,2404,160.0
2021-11-03,fluido 2,9,0,0.5,2434,180.0
